g_p,g_r,d,rho,eps,C,mean_train,std_train,mean_test,std_test,time,sv_ratio
0.500,0.500,4,0.4,0.1,1.00,0.793,0.012,0.816,0.063,2.13,0.92
1.000,0.100,3,0.6,0.1,10.00,0.744,0.012,0.816,0.055,2.41,0.91
0.100,0.500,2,0.4,0.1,1.00,0.794,0.013,0.817,0.063,1.59,0.92
0.100,0.500,3,0.4,0.1,1.00,0.795,0.013,0.817,0.063,2.18,0.92
0.100,0.500,4,0.4,0.1,1.00,0.795,0.013,0.817,0.063,2.19,0.92
0.500,0.100,2,0.6,0.1,10.00,0.779,0.015,0.818,0.059,1.87,0.92
0.100,0.500,1,0.4,0.1,1.00,0.796,0.013,0.819,0.064,1.67,0.92
1.000,0.100,2,0.6,0.1,10.00,0.763,0.014,0.820,0.059,1.74,0.91
0.500,0.100,2,0.4,0.1,10.00,0.783,0.014,0.820,0.061,1.71,0.92
1.000,1.000,1,0.8,0.1,1.00,0.797,0.013,0.822,0.066,1.68,0.92
0.500,0.100,2,0.8,0.1,10.00,0.784,0.014,0.823,0.056,1.78,0.91
0.500,0.500,1,0.4,0.1,1.00,0.801,0.013,0.823,0.065,1.72,0.92
1.000,0.500,4,0.6,0.1,1.00,0.794,0.012,0.826,0.057,2.27,0.92
0.500,0.100,2,0.2,0.1,10.00,0.794,0.014,0.827,0.063,1.71,0.92
1.000,0.500,1,0.4,0.1,1.00,0.804,0.013,0.828,0.066,1.69,0.92
1.000,0.100,2,0.8,0.1,10.00,0.771,0.013,0.830,0.056,1.89,0.91
0.500,0.500,3,0.6,0.1,1.00,0.809,0.012,0.830,0.069,2.15,0.92
1.000,0.100,4,0.2,0.1,10.00,0.783,0.013,0.835,0.057,2.44,0.92
0.500,0.500,4,0.6,0.1,1.00,0.817,0.012,0.837,0.066,2.25,0.92
1.000,0.500,2,0.8,0.1,1.00,0.813,0.014,0.838,0.056,1.69,0.92
1.000,0.100,4,0.4,0.1,10.00,0.771,0.013,0.839,0.059,2.49,0.93
0.100,0.500,2,0.6,0.1,1.00,0.819,0.012,0.840,0.068,1.63,0.92
0.100,0.500,3,0.6,0.1,1.00,0.821,0.012,0.842,0.068,2.24,0.92
0.100,0.500,4,0.6,0.1,1.00,0.822,0.012,0.842,0.068,2.18,0.92
0.500,0.500,2,0.8,0.1,1.00,0.825,0.013,0.842,0.059,1.59,0.92
0.100,0.500,1,0.6,0.1,1.00,0.823,0.012,0.844,0.068,1.74,0.92
0.500,0.100,3,0.4,0.1,10.00,0.813,0.011,0.845,0.066,2.34,0.92
0.500,0.100,3,0.2,0.1,10.00,0.816,0.012,0.846,0.066,2.36,0.92
1.000,0.100,4,0.6,0.1,10.00,0.771,0.013,0.849,0.060,2.43,0.92
