,units,layers,learning_rate,activation_function,lambda_reg,mean_val_loss,std_val_loss
360,16,1,0.0001,leakyrelu,0.005,1.502117657661438,0.09515707080818885
361,1,2,0.001,leakyrelu,0.005,3.1014116287231444,0.08612264741983333
362,16,1,0.1,elu,0.005,1.54359130859375,0.11914314418942268
363,4,2,0.001,relu,0.01,1.5918804168701173,0.11344227956520943
364,16,1,0.1,elu,0.01,1.6448482990264892,0.062155824646750533
365,16,1,0.1,leakyrelu,0.0,1.4552652359008789,0.09336966953290923
366,4,4,0.0001,relu,0.001,2.8786274909973146,2.8731316332836867
367,16,1,0.1,leakyrelu,1e-05,1.573762631416321,0.17392759432796784
368,1,3,0.001,relu,0.001,5.494029426574707,2.0245632924770423
369,16,1,0.1,leakyrelu,0.0001,1.4779191732406616,0.16416844213045773
370,1,4,0.0001,relu,1e-05,7.066978502273559,2.007463637479112
371,4,5,0.001,leakyrelu,0.0001,1.3051502227783203,0.055078193258709024
372,4,5,0.0001,relu,1e-05,1.9603106260299683,0.7855908526043343
373,16,1,0.1,leakyrelu,0.001,1.497459387779236,0.12899009080837393
374,1,1,0.0001,relu,0.0001,3.006861686706543,0.06966788199089312
375,16,1,0.1,leakyrelu,0.005,1.7383721351623536,0.1621806092333332
376,4,1,0.001,leakyrelu,0.005,1.6734731197357178,0.12312518575241645
