,units,layers,learning_rate,activation_function,lambda_reg,mean_tr_loss,std_tr_loss,mean_val_loss,std_val_loss
2261,128,4,0.0001,leakyrelu,0.1,3.0665103912353517,0.033417240673047355,3.0988946914672852,0.11110964148630968
2262,4,4,0.0001,leakyrelu,0.1,3.813085985183716,0.09282472355014161,3.7909595489501955,0.17947183250725762
2263,32,5,0.0001,leakyrelu,0.0,1.0051967740058898,0.03911719984653712,1.205752968788147,0.05569662382250542
2264,32,4,0.0001,relu,0.1,2.9827617168426515,0.024973227293584654,3.0151342391967773,0.09338853550000842
2265,32,3,0.0001,leakyrelu,0.1,2.8957233905792235,0.02271959627795235,2.9178488731384276,0.10345457999814793
2266,64,5,0.0001,leakyrelu,0.0,0.9479920625686645,0.06598338205358922,1.2074261426925659,0.03753675577604862
2267,4,3,0.0001,elu,0.0,1.2627044677734376,0.020729723145657387,1.3174025297164917,0.07545085406431301
2268,128,3,0.0001,elu,1e-05,1.0452533125877381,0.03889975551252299,1.1624614000320435,0.03140746047152427
2269,4,5,0.0001,relu,0.01,3.142338752746582,2.5642699912238527,3.2209585189819334,2.617608987058788
2270,128,5,0.0001,elu,1e-05,1.019332230091095,0.034230710774178906,1.1507405996322633,0.04794030996385572
2271,128,4,0.0001,elu,0.01,1.5077795267105103,0.03275176324076432,1.570873785018921,0.07723520802878381
2272,128,4,0.0001,leakyrelu,0.0,0.915294063091278,0.08498833752659593,1.217870044708252,0.0375290938967352
2273,64,2,0.0001,leakyrelu,0.001,1.1671302795410157,0.03816447460848906,1.3189458131790162,0.07837044118085543
2274,64,1,0.0001,relu,1e-05,1.0991262197494507,0.021958038956264126,1.2374315500259399,0.08480657218126746
2275,64,3,0.0001,relu,0.1,2.8240973472595217,0.02592954624615144,2.8498214721679687,0.09824014786007775
